#PSV-2.3   input_N:14228053
'GGAPBE96'   7.00000000 1
# pseudo potential for tapp generated by
# psv-2.3.0 2008.9.1                                
# title (comment) of allel input file:
# Nitrogen with non-relativistic                                          
# title (comment) of psv input file:
# Nitrogen                                                                
# stiffness=   0.8433700
# 
     5.00000000000000
    2
    1    1
      8023    0.120365354305866E+01
       1.74801213       3.56773176      -0.74801213       2.02483941
10000
    0.744036650910248E-06   -0.110093629764392E+02
    0.745400763099982E-06   -0.110093629764455E+02
    0.746767376244559E-06   -0.110093629764518E+02
    0.748136494929216E-06   -0.110093629764580E+02
    0.749508123747593E-06   -0.110093629764643E+02
    0.750882267301755E-06   -0.110093629764707E+02
    0.752258930202202E-06   -0.110093629764770E+02
    0.753638117067889E-06   -0.110093629764834E+02
    0.755019832526237E-06   -0.110093629764898E+02
    0.756404081213153E-06   -0.110093629764962E+02
    0.757790867773041E-06   -0.110093629765027E+02
    0.759180196858824E-06   -0.110093629765092E+02
    0.760572073131952E-06   -0.110093629765157E+02
    0.761966501262423E-06   -0.110093629765222E+02
    0.763363485928795E-06   -0.110093629765288E+02
    0.764763031818206E-06   -0.110093629765353E+02
    0.766165143626388E-06   -0.110093629765419E+02
    0.767569826057678E-06   -0.110093629765485E+02
    0.768977083825042E-06   -0.110093629765552E+02
    0.770386921650085E-06   -0.110093629765618E+02
    0.771799344263069E-06   -0.110093629765685E+02
    0.773214356402927E-06   -0.110093629765752E+02
    0.774631962817283E-06   -0.110093629765820E+02
    0.776052168262463E-06   -0.110093629765888E+02
    0.777474977503514E-06   -0.110093629765956E+02
    0.778900395314220E-06   -0.110093629766023E+02
    0.780328426477116E-06   -0.110093629766092E+02
    0.781759075783506E-06   -0.110093629766160E+02
    0.783192348033477E-06   -0.110093629766229E+02
    0.784628248035918E-06   -0.110093629766298E+02
    0.786066780608535E-06   -0.110093629766368E+02
    0.787507950577865E-06   -0.110093629766438E+02
    0.788951762779295E-06   -0.110093629766507E+02
    0.790398222057077E-06   -0.110093629766578E+02
    0.791847333264345E-06   -0.110093629766648E+02
    0.793299101263129E-06   -0.110093629766718E+02
    0.794753530924374E-06   -0.110093629766790E+02
    0.796210627127957E-06   -0.110093629766861E+02
