#PSV-2.1
'LDAPZ81 '   6.00000000 1
# pseudo potential for tapp generated by
# psv-2.1.3 2003.10.31                              
# title (comment) of allel input file:
# Carbon -- LDAPZ81 non-rela, Troullier-Martins, 2010.3.29. M.Yoshimura   
# title (comment) of psv input file:
# Carbon -- LDAPZ81 non-rela, Troullier-Martins, 2010.3.23. M.Yoshimura   
# stiffness=   0.8174469
# 
     4.00000000000000
    2
    1    1
      1629    0.150301184504207E+01
      -0.92896617       1.40297610       1.92896617       2.30558039
 2000
    0.485053324176659E-05   -0.702522622815159E+01
    0.489517921370450E-05   -0.702522622815133E+01
    0.494023612248397E-05   -0.702522622815107E+01
    0.498570775050867E-05   -0.702522622815080E+01
    0.503159791499680E-05   -0.702522622815052E+01
    0.507791046830155E-05   -0.702522622815024E+01
    0.512464929823449E-05   -0.702522622814996E+01
    0.517181832839194E-05   -0.702522622814967E+01
    0.521942151848434E-05   -0.702522622814937E+01
    0.526746286466868E-05   -0.702522622814907E+01
    0.531594639988394E-05   -0.702522622814876E+01
    0.536487619418964E-05   -0.702522622814845E+01
    0.541425635510756E-05   -0.702522622814813E+01
    0.546409102796648E-05   -0.702522622814781E+01
    0.551438439625023E-05   -0.702522622814748E+01
    0.556514068194887E-05   -0.702522622814714E+01
    0.561636414591307E-05   -0.702522622814680E+01
    0.566805908821186E-05   -0.702522622814645E+01
    0.572022984849358E-05   -0.702522622814610E+01
    0.577288080635016E-05   -0.702522622814574E+01
    0.582601638168483E-05   -0.702522622814537E+01
    0.587964103508309E-05   -0.702522622814500E+01
    0.593375926818723E-05   -0.702522622814461E+01
    0.598837562407417E-05   -0.702522622814423E+01
    0.604349468763690E-05   -0.702522622814383E+01
    0.609912108596931E-05   -0.702522622814343E+01
    0.615525948875467E-05   -0.702522622814301E+01
    0.621191460865761E-05   -0.702522622814260E+01
    0.626909120171974E-05   -0.702522622814217E+01
    0.632679406775890E-05   -0.702522622814174E+01
    0.638502805077212E-05   -0.702522622814129E+01
    0.644379803934222E-05   -0.702522622814084E+01
    0.650310896704823E-05   -0.702522622814038E+01
    0.656296581287952E-05   -0.702522622813992E+01
    0.662337360165380E-05   -0.702522622813944E+01
    0.668433740443891E-05   -0.702522622813896E+01
    0.674586233897856E-05   -0.702522622813846E+01
    0.680795357012191E-05   -0.702522622813796E+01
    0.687061631025716E-05   -0.702522622813745E+01
