#PSV-2.3   Si.psv.in:1479f9c6
'GGAPBE96'  14.00000000 1
# pseudo potential for tapp generated by
# psv-2.3.0 2008.9.1                                
# title (comment) of allel input file:
# Si -- GGA, non-relarivistic, 2013.06.26 K. Sawada                       
# title (comment) of psv input file:
# Si -- GGA, non-relativistic, 2013.06.26 K. Sawada                       
# stiffness=   0.8557662
# 
     4.00000000000000
    2
    1    1
      1685    0.251068720072167E+01
       1.92620580       1.13109540      -0.92620580       0.53380932
 2000
    0.233056178249012E-05   -0.505691904100716E+01
    0.235201307263790E-05   -0.505691904100729E+01
    0.237366180781910E-05   -0.505691904100742E+01
    0.239550980538552E-05   -0.505691904100755E+01
    0.241755889941652E-05   -0.505691904100769E+01
    0.243981094087295E-05   -0.505691904100783E+01
    0.246226779775254E-05   -0.505691904100797E+01
    0.248493135524669E-05   -0.505691904100811E+01
    0.250780351589878E-05   -0.505691904100826E+01
    0.253088619976382E-05   -0.505691904100841E+01
    0.255418134456970E-05   -0.505691904100856E+01
    0.257769090587980E-05   -0.505691904100872E+01
    0.260141685725718E-05   -0.505691904100888E+01
    0.262536119043025E-05   -0.505691904100904E+01
    0.264952591545997E-05   -0.505691904100920E+01
    0.267391306090860E-05   -0.505691904100937E+01
    0.269852467400998E-05   -0.505691904100954E+01
    0.272336282084138E-05   -0.505691904100971E+01
    0.274842958649697E-05   -0.505691904100989E+01
    0.277372707526284E-05   -0.505691904101007E+01
    0.279925741079364E-05   -0.505691904101025E+01
    0.282502273629087E-05   -0.505691904101044E+01
    0.285102521468281E-05   -0.505691904101063E+01
    0.287726702880604E-05   -0.505691904101082E+01
    0.290375038158874E-05   -0.505691904101102E+01
    0.293047749623560E-05   -0.505691904101122E+01
    0.295745061641443E-05   -0.505691904101142E+01
    0.298467200644455E-05   -0.505691904101163E+01
    0.301214395148684E-05   -0.505691904101184E+01
    0.303986875773557E-05   -0.505691904101206E+01
    0.306784875261204E-05   -0.505691904101228E+01
    0.309608628495992E-05   -0.505691904101250E+01
    0.312458372524245E-05   -0.505691904101273E+01
    0.315334346574141E-05   -0.505691904101296E+01
    0.318236792075799E-05   -0.505691904101320E+01
    0.321165952681541E-05   -0.505691904101344E+01
